,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
102,1268643,IKLBNS10,KANSAS CITY SOUTHERN RAILWAY,FREIGHT,,,,,,,U
103,1268661,UNKNOWN,PERDUE FARMS,LOCOMOTIVE,,,,,,,U
104,1268678,NO TRAIN INVOLVED,NORFOLK SOUTHERN RAILROAD,OTHER,,,,,,,U
105,1268720,NO TRAIN,CSX RAILROAD,OTHER,,,,,,,U
106,1268727,BLF70714,VIRGIN USA,PASSENGER,50.0,45.0,S,2.0,4.0,,U
107,1268729,OGLSE OF THE 13TH,UNION PACIFIC RAILROAD,FREIGHT,,,W,4.0,107.0,,U
108,1268745,A1504115A,BNSF RAILWAY,PASSENGER,,,N,2.0,6.0,,N
109,1268779,10 / FRONT RUNNER,UTAH TRANSIT AUTHORITY,COMMUTER,,,N,1.0,4.0,,U
110,1268793,,TWIN CITIES AND WESTERN RAILRAOD,OTHER,,,,,,,U
111,1268800,91 OF THE 14TH,SFRTA,PASSENGER,,,S,,,,U
112,1268802,77 OF THE 15TH,AMTRAK,PASSENGER,,,W,2.0,4.0,,U
113,1268803,077-15,AMTRAK,PASSENGER,,,W,4.0,4.0,,U
114,1268811,TRAIN 14,UTAH TRANSIT AUTHORITY,LIGHT RAIL,55.0,,S,,3.0,,N
115,1268837,179 OF THE 15TH,NORFOLK SOUTHERN RAILROAD,FREIGHT,60.0,0.0,S,4.0,56.0,0.0,N
116,1268921,U31516,CSX RAILROAD,FREIGHT,25.0,,W,2.0,110.0,0.0,U
117,1268924,512,KEOLIS,PASSENGER,,,,2.0,5.0,0.0,U
118,1268926,6127,LONG ISLAND RAILROAD,RAIL CAR,,,,0.0,4.0,1.0,U
119,1268944,512,KEOLIS,PASSENGER,,,,2.0,5.0,0.0,U
120,1268963,ZCHCPTL716A,BNSF RAILWAY,FREIGHT,,,W,4.0,70.0,,U
121,1268976,UNKNOWN,FLORIDA EAST COAST RR,FREIGHT,,,S,,,,U
122,1268978,L50781-17,CANADIAN NATIONAL RAILWAY,FREIGHT,,,N,1.0,17.0,,N
123,1268979,11717,FLORIDA DISPATCH CO/EAST COAST RAILROAD,FREIGHT,45.0,45.0,S,2.0,41.0,,U
124,1268984,Q43817,CSX RAILROAD,FREIGHT,,,,2.0,,,U
125,1269011,ILAG3 OF THE 15TH,UNION PACIFIC RAILROAD,FREIGHT,,,E,3.0,128.0,2.0,U
126,1269019,NF3080,NORFOLK SOUTHERN,LOCOMOTIVE,,,,,,,U
127,1269040,IMNLB OF THE 18TH,UNION PACIFIC RAILROAD,FREIGHT,,,W,2.0,96.0,14.0,U
128,1269073,SALTOIG117L,BNSF RAILWAY,FREIGHT,,,W,2.0,67.0,2.0,U
129,1269079,A41971-19,CN RAILWAY,FREIGHT,,,,2.0,,,N
