,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1556,1269043,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0.0,UNKNOWN AMOUNT
1557,1269043,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0.0,UNKNOWN AMOUNT
1558,1269044,PRP,000000-00-0,,2500.0,GALLON(S),PROPANE,NO,,
1559,1269045,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
1560,1269046,OTH,000000-00-0,,800.0,GALLON(S),DENATURED FUEL ETHANOL,YES,800.0,GALLON(S)
1561,1269048,ODS,000000-00-0,,300.0,GALLON(S),OIL: DIESEL,YES,250.0,GALLON(S)
1562,1269049,NCC,000000-00-0,,248.5,POUND(S),1234YF (REFRIGERANT BASE GAS),NO,,
1563,1269049,NCC,000000-00-0,,2718.0,POUND(S),244BB (REFRIGERANT BASE GAS),NO,,
1564,1269051,NAC,007697-37-2,,40.0,GALLON(S),NITRIC ACID,NO,,
1565,1269053,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,LOW SULFUR FUEL OIL,NO,,
1566,1269053,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,LOW SULFUR MARINE GAS OIL,NO,,
1567,1269053,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,VACUUM GAS OIL,NO,,
1568,1269054,OTF,000000-00-0,,4.0,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0.5,GALLON(S)
1569,1269055,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1570,1269056,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1571,1269059,ACE,000000-00-0,,0.0,UNKNOWN AMOUNT,ACETYLENE,NO,,
1572,1269059,ETL,000000-00-0,,0.0,UNKNOWN AMOUNT,ETHYLENE,NO,,
1573,1269061,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1574,1269062,OIL,000000-00-0,,3.84,TEASPOON(S),OIL: CRUDE,YES,3.84,TEASPOON(S)
1575,1269063,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0.0,UNKNOWN AMOUNT
1576,1269064,ONG,000000-00-0,,33.0,MMCF,NATURAL GAS,NO,,
1577,1269066,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1578,1269068,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,REFINED PRODUCTS,NO,,
1579,1269069,OTW,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",NO,,
1580,1269070,ODS,000000-00-0,,100.0,GALLON(S),OIL: DIESEL,NO,,
1581,1269075,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1582,1269078,ODS,000000-00-0,,20.0,GALLON(S),OIL: DIESEL,UNKNOWN,0.0,UNKNOWN AMOUNT
1583,1269080,NCC,000000-00-0,,10.0,TON(S),SOY BEANS,NO,,
1584,1269083,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1585,1269084,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1586,1269085,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1587,1269086,EGL,000107-21-1,,0.0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,NO,,
1588,1269087,GAS,000000-00-0,,20.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,20.0,GALLON(S)
1589,1269088,ODS,000000-00-0,,0.5,GALLON(S),OIL: DIESEL,YES,0.5,GALLON(S)
1590,1269089,NCC,000000-00-0,,17.0,CUP(S),GLYCOL,YES,1.0,CUP(S)
1591,1269090,OUN,000000-00-0,,1.0,GALLON(S),UNKNOWN OIL,NO,,
1592,1269091,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1593,1269092,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1594,1269094,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0.0,UNKNOWN AMOUNT
1595,1269095,OMT,000000-00-0,,8.0,QUART(S),"OIL, MISC: MOTOR",NO,,
1596,1269096,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
