,SEQNOS,MOBILE_TYPE,VEHICLE_NUMBER,TRAILER_NUMBER,VEHICLE_OWN_FUEL_CAPACITY,CARGO_CAPACITY,CARGO_CAPACITY_UNITS,AMOUNT_OF_CARGO_ON_BOARD,AMOUNT_OF_CARGO_ON_BOARD_UNITS,HAZMAT_CARRIER,CARRIER_LICENSED,NONCOMPLIANCE_WITH_HAZMAT,VEHICLE_YEAR,VEHICLE_MAKE,VEHICLE_MODEL
295,1270310,TRACTOR TRAILER,CO BCI 215,,,,,,,U,U,U,,,
296,1270313,OTHER,MARSH BUGGY,,,,,,,U,U,U,,,
297,1270314,OTHER,UNKNOWN,,,,,,,U,U,U,,,
298,1270315,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
299,1270317,TRACTOR TRAILER TRUCK,IN TAG 8807067,,,,,,,U,U,U,,,
300,1270322,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
301,1270324,TRACTOR TRAILER TRUCK,PT2899,,,,,,,U,U,U,,,
302,1270334,TRACTOR TRAILER,303693,,,,,,,U,U,U,,,
303,1270340,PASSENGER TRUCK,NC JJ8674,,,,,,,U,U,U,,,
304,1270340,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
305,1270347,CONSTRUCTION VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
306,1270366,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
307,1270370,OTHER,GARBAGE TRUCK - 2027,,,,,,,U,U,U,,,
308,1270372,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
309,1270403,TANKER TRUCK,UNKNOWN,,,,,,,Y,U,U,,,
310,1270405,TRACTOR TRAILER,CO 086 UQW,,,,,,,U,U,U,,,
311,1270406,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
312,1270407,OTHER,3JBLGAT43KJ003766,,,,,,,U,U,U,,,
313,1270411,TRACTOR TRAILER TRUCK,5362,,,,,,,U,U,U,,,
314,1270415,TRACTOR TRAILER TRUCK,184290,,,,,,,U,U,U,,,
315,1270423,OTHER,UNKNOWN,,,,,,,U,U,U,,,
316,1270425,TRACTOR TRAILER,AMLU814687,,,,,,,U,U,U,,,
317,1270444,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
318,1270447,ALL TERRAIN VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
319,1270462,COMMERCIAL TRUCK,TX R41 3036,,,,,,,U,U,U,,,
320,1270467,TANKER TRUCK,167206,167206,,9500.0,GALLON(S),8500.0,GALLON(S),Y,Y,U,,,
321,1270474,PASSENGER VAN,UNKNOWN,,,,,,,U,U,U,,,
322,1270478,PASSENGER TRUCK,,,,,,,,U,U,U,,,
323,1270485,TRACTOR TRAILER,UNKNOWN,,,,,,,U,U,U,,,
324,1270490,TRACTOR TRAILER TRUCK,83025,,,,,,,U,U,U,,,
325,1270491,TRACTOR TRAILER TRUCK,5323299,,,,,,,U,U,U,,,
326,1270492,TRACTOR TRAILER,UNKNOWN,,,,,,,N,N,U,,,
327,1270494,TRACTOR TRAILER TRUCK,160485,287702/285735,,,,,,U,U,U,,,
328,1270496,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
329,1270523,TRACTOR TRAILER TRUCK,150036,,300.0,,,,,U,U,U,,,
330,1270529,COMMERCIAL TRUCK,1228,,,,,,,U,U,U,,,
331,1270538,TRACTOR TRAILER,127132,,,,,,,U,U,U,,,
332,1270538,TRACTOR TRAILER TRUCK,201214,127132,,,,,,U,U,U,,,
333,1270541,TRACTOR TRAILER,NCFR108114,,,,,,,N,Y,N,,,
334,1270553,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
335,1270554,CONSTRUCTION VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
336,1270561,TANKER TRUCK,US DOT 1515240,57,,10000.0,GALLON(S),9800.0,GALLON(S),U,U,U,,,
337,1270562,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
338,1270586,OTHER,UNKNOWN,,,,,,,U,U,U,,,
339,1270588,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
340,1270591,DUMP TRUCK,2281,,,,,,,N,U,U,,,
341,1270608,TRACTOR TRAILER TRUCK,8781,UNKNOWN,,0.0,UNKNOWN AMOUNT,,,Y,Y,U,,,
342,1270654,CONSTRUCTION VEHICLE,EXCAVATOR,,,,,,,U,U,U,,,
343,1270663,SCHOOL BUS,BUS NUMBER 21,,,,,,,U,U,U,,,
344,1270672,TRACTOR TRAILER,3205489,,150.0,,,,,N,U,U,,,
345,1270683,OTHER,TRUCK #103485,,,,,,,N,U,N,,,
346,1270684,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
347,1270689,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
348,1270701,OTHER,U.S DOT 3070650,,,,,,,U,U,U,,,
349,1270702,TRACTOR TRAILER TRUCK,WP45826,,,,,,,U,U,U,,,
350,1270710,TRACTOR TRAILER TRUCK,2546909,,,,,,,U,U,U,,,
351,1270717,ALL TERRAIN VEHICLE,SEE SENSITIVE,,,,,,,U,U,U,,,
352,1270719,TRACTOR TRAILER TRUCK,,284404JBHU,,0.0,UNKNOWN,0.0,UNKNOWN,Y,Y,U,,,
353,1270733,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
354,1270761,TRANSIT BUS,755,,,,,,,N,U,N,,,
355,1270776,OTHER,2008 WHITE YAMAHA,,10.0,,,,,U,U,U,,,
356,1270783,TRACTOR TRAILER TRUCK,331406,,,,,,,U,U,U,,,
